Date,Total Incidents
2016-01-01,221
2016-01-02,142
2016-01-03,164
2016-01-04,149
2016-01-05,140
2016-01-06,141
2016-01-07,165
2016-01-08,161
2016-01-09,158
2016-01-10,129
2016-01-11,152
2016-01-12,142
2016-01-13,157
2016-01-14,120
2016-01-15,138
2016-01-16,155
2016-01-17,137
2016-01-18,118
2016-01-19,129
2016-01-20,126
2016-01-21,121
2016-01-22,124
2016-01-23,146
2016-01-24,113
2016-01-25,162
2016-01-26,145
2016-01-27,148
2016-01-28,157
2016-01-29,176
2016-01-30,181
2016-01-31,173
2016-02-01,139
2016-02-02,142
2016-02-03,132
2016-02-04,137
2016-02-05,144
2016-02-06,133
2016-02-07,155
2016-02-08,133
2016-02-09,122
2016-02-10,119
2016-02-11,112
2016-02-12,125
2016-02-13,126
2016-02-14,128
2016-02-15,132
2016-02-16,128
2016-02-17,145
2016-02-18,153
2016-02-19,150
2016-02-20,159
2016-02-21,174
2016-02-22,136
2016-02-23,148
2016-02-24,122
2016-02-25,108
2016-02-26,128
2016-02-27,150
2016-02-28,142
2016-02-29,145
2016-03-01,155
2016-03-02,127
2016-03-03,137
2016-03-04,135
2016-03-05,175
2016-03-06,147
2016-03-07,173
2016-03-08,180
2016-03-09,167
2016-03-10,164
2016-03-11,156
2016-03-12,153
2016-03-13,160
2016-03-14,160
2016-03-15,145
2016-03-16,164
2016-03-17,145
2016-03-18,169
2016-03-19,151
2016-03-20,133
2016-03-21,166
2016-03-22,152
2016-03-23,155
2016-03-24,159
2016-03-25,148
2016-03-26,164
2016-03-27,172
2016-03-28,166
2016-03-29,171
2016-03-30,180
2016-03-31,163
2016-04-01,150
2016-04-02,150
2016-04-03,154
2016-04-04,136
2016-04-05,133
2016-04-06,163
2016-04-07,121
2016-04-08,138
2016-04-09,140
2016-04-10,183
2016-04-11,164
2016-04-12,150
2016-04-13,149
2016-04-14,133
2016-04-15,148
2016-04-16,184
2016-04-17,190
2016-04-18,164
2016-04-19,170
2016-04-20,165
2016-04-21,156
2016-04-22,145
2016-04-23,172
2016-04-24,176
2016-04-25,162
2016-04-26,151
2016-04-27,165
2016-04-28,168
2016-04-29,138
2016-04-30,154
2016-05-01,175
2016-05-02,149
2016-05-03,148
2016-05-04,147
2016-05-05,147
2016-05-06,153
2016-05-07,188
2016-05-08,172
2016-05-09,160
2016-05-10,146
2016-05-11,175
2016-05-12,162
2016-05-13,138
2016-05-14,163
2016-05-15,164
2016-05-16,141
2016-05-17,135
2016-05-18,155
2016-05-19,169
2016-05-20,144
2016-05-21,149
2016-05-22,163
2016-05-23,164
2016-05-24,137
2016-05-25,191
2016-05-26,161
2016-05-27,142
2016-05-28,169
2016-05-29,176
2016-05-30,161
2016-05-31,158
2016-06-01,152
2016-06-02,128
2016-06-03,148
2016-06-04,165
2016-06-05,169
2016-06-06,144
2016-06-07,142
2016-06-08,184
2016-06-09,150
2016-06-10,152
2016-06-11,166
2016-06-12,160
2016-06-13,151
2016-06-14,143
2016-06-15,137
2016-06-16,148
2016-06-18,171
2016-06-19,185
2016-06-20,166
2016-06-21,159
2016-06-22,147
2016-06-23,125
2016-06-24,160
2016-06-25,162
2016-06-26,205
2016-06-27,173
2016-06-28,160
2016-06-29,141
2016-06-30,137
2016-07-01,144
2016-07-02,180
2016-07-03,167
2016-07-04,224
2016-07-05,190
2016-07-06,180
2016-07-07,129
2016-07-08,130
2016-07-09,164
2016-07-10,170
2016-07-11,156
2016-07-12,154
2016-07-13,162
2016-07-14,127
2016-07-15,150
2016-07-16,178
2016-07-17,221
2016-07-18,163
2016-07-19,178
2016-07-20,174
2016-07-21,119
2016-07-22,136
2016-07-23,200
2016-07-24,215
2016-07-25,187
2016-07-26,175
2016-07-27,169
2016-07-28,163
2016-07-29,161
2016-07-30,201
2016-07-31,183
2016-08-01,157
2016-08-02,172
2016-08-03,181
2016-08-04,179
2016-08-05,183
2016-08-06,190
2016-08-07,208
2016-08-08,169
2016-08-09,156
2016-08-10,171
2016-08-11,178
2016-08-12,184
2016-08-13,191
2016-08-14,197
2016-08-15,177
2016-08-16,166
2016-08-17,158
2016-08-18,176
2016-08-19,152
2016-08-20,184
2016-08-21,227
2016-08-22,164
2016-08-23,172
2016-08-24,160
2016-08-25,159
2016-08-26,176
2016-08-27,189
2016-08-28,230
2016-08-29,160
2016-08-30,187
2016-08-31,174
2016-09-01,179
2016-09-02,150
2016-09-03,194
2016-09-04,216
2016-09-05,207
2016-09-06,166
2016-09-07,177
2016-09-08,135
2016-09-09,154
2016-09-10,165
2016-09-11,193
2016-09-12,143
2016-09-13,149
2016-09-14,174
2016-09-15,167
2016-09-16,159
2016-09-17,186
2016-09-18,167
2016-09-19,147
2016-09-20,153
2016-09-21,165
2016-09-22,139
2016-09-23,149
2016-09-24,158
2016-09-25,193
2016-09-26,156
2016-09-27,137
2016-09-28,158
2016-09-29,160
2016-09-30,141
2016-10-01,192
2016-10-02,163
2016-10-03,134
2016-10-04,143
2016-10-05,154
2016-10-06,142
2016-10-07,129
2016-10-08,173
2016-10-09,178
2016-10-10,170
2016-10-11,152
2016-10-12,163
2016-10-13,176
2016-10-14,158
2016-10-15,208
2016-10-16,217
2016-10-17,149
2016-10-18,182
2016-10-19,196
2016-10-20,161
2016-10-21,158
2016-10-22,176
2016-10-23,178
2016-10-24,171
2016-10-25,191
2016-10-26,167
2016-10-27,152
2016-10-28,144
2016-10-29,188
2016-10-30,192
2016-10-31,194
2016-11-01,200
2016-11-02,167
2016-11-03,159
2016-11-04,159
2016-11-05,185
2016-11-06,205
2016-11-07,149
2016-11-08,135
2016-11-09,131
2016-11-10,148
2016-11-11,158
2016-11-12,179
2016-11-13,186
2016-11-14,166
2016-11-15,168
2016-11-16,171
2016-11-17,178
2016-11-18,176
2016-11-19,179
2016-11-20,154
2016-11-21,139
2016-11-22,171
2016-11-23,167
2016-11-24,149
2016-11-25,157
2016-11-26,201
2016-11-27,217
2016-11-28,175
2016-11-29,167
2016-11-30,196
2016-12-01,181
2016-12-02,177
2016-12-03,173
2016-12-04,168
2016-12-05,167
2016-12-06,147
2016-12-07,146
2016-12-08,161
2016-12-09,183
2016-12-10,154
2016-12-11,177
2016-12-12,177
2016-12-13,162
2016-12-14,166
2016-12-15,149
2016-12-16,131
2016-12-17,195
2016-12-18,127
2016-12-19,149
2016-12-20,171
2016-12-21,164
2016-12-22,141
2016-12-23,167
2016-12-24,156
2016-12-25,154
2016-12-26,174
2016-12-27,177
2016-12-28,191
2016-12-29,204
2016-12-30,155
2016-12-31,209
