State,Incidents 2014-2018,Abbreviations,Incidents 2017
Alaska,1349,AK,317
Alabama,5471,AL,1461
Arkansas,2842,AR,820
Arizona,2328,AZ,587
California,16306,CA,4588
Colorado,3201,CO,809
Connecticut,3067,CT,780
Delaware,1685,DE,389
Florida,15029,FL,4156
Georgia,8925,GA,1994
Hawaii,289,HI,68
Iowa,2517,IA,586
Idaho,661,ID,163
Illinois,17556,IL,5089
Indiana,5852,IN,1483
Kansas,2145,KS,578
Kentucky,4157,KY,1030
Louisiana,8103,LA,1987
Massachusetts,5981,MA,1761
Maryland,5798,MD,1579
Maine,907,ME,203
Michigan,6136,MI,1360
Minnesota,2408,MN,759
Missouri,6631,MO,1730
Mississippi,3599,MS,1029
Montana,638,MT,167
North Carolina,8739,NC,2141
North Dakota,573,ND,133
Nebraska,1651,NE,439
New Hampshire,964,NH,206
New Jersey,5387,NJ,1342
New Mexico,1645,NM,448
Nevada,1953,NV,438
New York,9712,NY,2031
Ohio,10244,OH,2701
Oklahoma,3455,OK,866
Oregon,2286,OR,511
Pennsylvania,8929,PA,2172
Rhode Island,895,RI,191
South Carolina,6939,SC,1721
South Dakota,544,SD,199
Tennessee,7626,TN,1874
Texas,13577,TX,2875
Utah,1072,UT,224
Virginia,5949,VA,1473
Vermont,472,VT,71
Washington,3434,WA,881
Wisconsin,4787,WI,1369
West Virginia,1575,WV,390
Wyoming,494,WY,91
