Abb,Number of Gun Laws,Incidents,State
AK,3,1349,Alaska
AL,10,5471,Alabama
AR,11,2842,Arkansas
AZ,8,2328,Arizona
CA,106,16306,California
CO,30,3201,Colorado
CT,90,3067,Connecticut
DE,40,1685,Delaware
FL,21,15029,Florida
GA,6,8925,Georgia
HI,79,289,Hawaii
IA,24,2517,Iowa
ID,2,661,Idaho
IL,65,17556,Illinois
IN,12,5852,Indiana
KS,4,2145,Kansas
KY,7,4157,Kentucky
LA,13,8103,Louisiana
MA,101,5981,Massachusetts
MD,64,5798,Maryland
ME,11,907,Maine
MI,21,6136,Michigan
MN,41,2408,Minnesota
MO,2,6631,Missouri
MS,2,3599,Mississippi
MT,4,638,Montana
NC,30,8739,North Carolina
ND,10,573,North Dakota
NE,22,1651,Nebraska
NH,9,964,New Hampshire
NJ,75,5387,New Jersey
NM,10,1645,New Mexico
NV,21,1953,Nevada
NY,76,9712,New York
OH,16,10244,Ohio
OK,9,3455,Oklahoma
OR,35,2286,Oregon
PA,37,8929,Pennsylvania
RI,53,895,Rhode Island
SC,12,6939,South Carolina
SD,5,544,South Dakota
TN,22,7626,Tennessee
TX,18,13577,Texas
UT,13,1072,Utah
VA,13,5949,Virginia
VT,6,472,Vermont
WA,43,3434,Washington
WI,23,4787,Wisconsin
WV,18,1575,West Virginia
WY,6,494,Wyoming
